TransactionID,CustomerSegment,PurchaseAmount,TransactionDate
1,C,359.35,2025-05-24
2,A,204.21,2025-02-05
3,C,248.63,2025-04-09
4,C,277.22,2025-04-14
5,A,217.2,2025-01-21
6,A,246.31,2025-08-21
7,C,230.39,2025-10-03
8,B,251.63,2025-08-08
9,C,148.28,2025-06-28
10,C,210.21,2025-03-26
11,C,224.06,2025-09-19
12,C,223.35,2025-01-19
13,A,256.85,2025-02-11
14,C,222.34,2025-03-22
15,B,142.75,2025-10-22
16,A,229.57,2025-04-02
17,B,155.85,2025-07-02
18,B,165.03,2025-04-14
19,B,179.07,2025-03-28
20,B,194.43,2024-12-25
21,A,122.81,2024-11-27
22,A,255.84,2025-05-10
23,B,142.22,2025-06-26
24,B,278.51,2025-09-15
25,A,143.75,2025-05-10
26,A,264.1,2025-02-04
27,A,198.58,2025-11-10
28,C,114.18,2025-07-21
29,C,147.85,2025-04-24
30,C,266.32,2025-09-27
31,B,222.43,2025-08-15
32,C,196.06,2025-10-16
33,B,89.16,2025-11-02
34,B,269.48,2025-10-19
35,C,293.52,2025-02-09
36,B,284.4,2025-07-19
37,C,169.24,2025-04-12
38,C,219.14,2025-08-11
39,A,224.61,2025-06-08
40,C,123.63,2025-08-17
41,A,209.02,2024-12-08
42,C,253.55,2025-11-15
43,C,238.22,2025-02-25
44,A,144.44,2025-08-18
45,A,156.87,2025-10-14
46,C,239.53,2025-01-26
47,B,231.64,2025-11-10
48,A,87.29,2025-01-01
49,B,77.17,2025-10-01
50,B,196.17,2025-01-20
51,B,170.52,2025-01-28
52,A,185.08,2025-11-15
53,B,179.44,2025-01-13
54,A,249.2,2025-09-08
55,B,205.18,2025-04-25
56,C,213.38,2024-12-23
57,C,132.88,2025-03-08
58,A,31.8,2025-07-01
59,C,256.18,2025-09-07
60,C,307.16,2025-04-26
61,B,182.87,2025-05-13
62,A,212.47,2025-05-11
63,B,216.23,2025-11-02
64,B,283.76,2025-08-30
65,B,244.45,2025-03-04
66,B,224.8,2025-07-07
67,B,202.78,2025-09-29
68,B,203.01,2024-11-27
69,B,128.03,2025-11-01
70,A,180.83,2025-10-11
71,C,244.31,2025-02-12
72,B,188.31,2025-03-06
73,B,202.22,2025-11-11
74,B,141.19,2025-05-12
75,B,222.28,2025-02-18
76,B,126.91,2025-09-02
77,B,214.49,2025-03-22
78,C,190.64,2025-03-02
79,C,112.84,2024-12-27
80,B,253.47,2025-08-02
81,C,191.81,2025-11-20
82,A,293.04,2025-07-13
83,B,273.91,2025-06-04
84,A,156.03,2025-01-03
85,A,160.41,2025-01-16
86,B,141.4,2025-04-26
87,C,120.68,2025-09-06
88,A,178.89,2025-04-18
89,B,272.19,2025-08-16
90,A,104.25,2025-02-27
91,A,242.6,2025-11-13
92,A,238.42,2025-06-21
93,A,227.73,2025-06-28
94,C,236.66,2025-08-11
95,A,144.79,2025-05-23
96,A,238.08,2025-01-30
97,A,172.54,2025-08-21
98,C,77.04,2025-07-19
99,A,202.87,2025-02-07
100,A,157.79,2025-06-09
101,C,267.94,2025-05-28
102,C,185.68,2024-11-28
103,C,202.28,2025-10-19
104,A,219.46,2025-11-12
105,C,186.63,2025-11-23
106,C,194.81,2024-12-13
107,A,242.18,2025-05-01
108,C,146.68,2025-06-19
109,A,164.91,2025-11-11
110,B,151.64,2025-08-11
111,C,271.84,2025-01-20
112,B,164.92,2025-04-14
113,A,192.84,2025-06-10
114,C,169.97,2025-10-24
115,A,184.59,2025-03-21
116,B,163.13,2025-03-25
117,A,223.14,2025-03-03
118,C,147.96,2025-07-09
119,C,132.38,2025-02-26
120,B,172.08,2025-08-23
121,A,160.09,2025-04-14
122,C,133.11,2025-10-19
123,B,183.83,2025-01-29
124,C,116.99,2025-10-29
125,C,286.39,2025-01-13
126,A,125.37,2025-03-27
127,C,167.69,2025-04-05
128,A,179.82,2025-05-26
129,C,284.23,2025-02-28
130,B,113.48,2025-04-05
131,C,207.1,2025-04-02
132,A,251.86,2025-03-06
133,A,184.51,2024-12-03
134,B,141.51,2024-12-22
135,C,194.6,2025-09-23
136,C,276.36,2025-06-03
137,B,169.21,2025-11-24
138,C,271.81,2025-07-08
139,C,212.93,2025-06-22
140,A,261.63,2025-01-07
141,C,210.93,2025-07-04
142,C,175.78,2025-02-07
143,B,281.94,2025-06-27
144,B,211.26,2025-05-18
145,A,208.32,2025-09-15
146,C,240.38,2025-01-26
147,C,246.21,2024-12-18
148,C,240.64,2025-07-10
149,A,132.46,2025-05-24
150,A,168.14,2025-02-07
151,B,167.17,2025-09-27
152,A,161.05,2025-05-13
153,C,156.39,2025-02-05
154,C,166.45,2025-01-12
155,A,216.8,2025-01-29
156,C,224.72,2024-12-18
157,C,199.92,2025-11-16
158,A,178.7,2025-09-26
159,A,263.77,2024-12-29
160,C,195.42,2025-04-15
161,C,246.85,2025-06-27
162,C,171.53,2025-05-12
163,B,220.69,2025-10-06
164,B,267.1,2025-03-12
165,B,69.56,2025-09-29
166,A,167.25,2025-09-16
167,B,229.69,2025-07-02
168,A,260.64,2024-12-13
169,A,210.16,2025-09-25
170,B,202.48,2025-01-21
171,B,280.53,2025-03-29
172,B,263.7,2025-01-01
173,C,156.57,2025-08-12
174,B,205.82,2025-04-15
175,C,218.01,2025-01-18
176,A,285.93,2025-04-23
177,C,243.3,2025-03-31
178,B,194.82,2025-03-13
179,A,211.0,2025-03-10
180,A,105.81,2025-11-22
181,A,248.43,2025-03-11
182,C,232.29,2025-10-04
183,B,260.61,2025-10-11
184,A,192.8,2025-04-26
185,A,206.4,2025-06-03
186,A,175.93,2025-11-18
187,C,142.6,2025-08-20
188,C,169.89,2025-11-07
189,B,109.03,2025-03-31
190,C,245.73,2025-09-27
191,A,91.26,2025-06-02
192,B,301.61,2024-12-24
193,A,111.79,2025-09-26
194,A,274.99,2025-07-05
195,C,154.6,2025-04-25
196,B,228.05,2025-11-24
197,C,162.38,2025-06-20
198,C,283.69,2025-04-14
199,B,202.19,2025-03-03
200,A,253.68,2025-07-30
201,A,203.8,2025-08-30
202,B,217.65,2025-01-02
203,A,230.81,2025-09-20
204,B,173.56,2024-12-05
205,B,135.99,2025-08-21
206,C,134.92,2025-03-05
207,B,202.54,2025-08-14
208,C,175.57,2025-01-08
209,A,92.71,2025-07-27
210,A,225.65,2025-10-29
211,A,139.08,2025-07-13
212,A,141.98,2025-05-16
213,C,197.92,2025-04-15
214,A,154.99,2024-12-30
215,B,206.13,2025-06-10
216,B,298.67,2025-11-18
217,B,181.05,2025-10-18
218,C,147.02,2025-11-02
219,A,209.08,2025-03-11
220,A,161.24,2025-04-15
221,A,201.19,2025-07-26
222,C,215.78,2025-10-20
223,B,198.24,2025-01-03
224,B,202.83,2025-03-21
225,A,209.6,2025-06-04
226,B,279.86,2025-08-29
227,B,187.35,2025-10-21
228,C,206.37,2025-01-15
229,C,243.34,2025-06-04
230,C,223.55,2025-02-16
231,C,182.09,2025-09-07
232,A,245.09,2025-08-05
233,C,156.44,2025-10-18
234,B,188.66,2025-01-30
235,A,161.45,2025-04-17
236,B,228.81,2025-01-13
237,B,259.48,2024-12-13
238,B,211.17,2025-08-04
239,C,203.76,2025-05-25
240,C,156.25,2025-01-08
241,A,164.87,2025-10-02
242,A,140.34,2025-10-18
243,C,91.17,2024-12-08
244,B,180.45,2025-10-18
