TransactionID,CustomerSegment,PurchaseAmount,TransactionDate
1,C,222.46,2024-04-12
2,B,179.43,2024-12-14
3,A,130.83,2024-09-27
4,C,144.32,2024-04-16
5,B,424.75,2024-03-12
6,C,364.51,2024-07-07
7,A,142.01,2024-01-21
8,A,112.78,2024-04-12
9,A,149.78,2024-05-01
10,C,161.4,2024-08-02
11,C,104.52,2024-11-26
12,A,210.77,2024-03-28
13,C,174.12,2024-04-09
14,A,153.63,2024-12-25
15,A,139.33,2024-05-31
16,B,260.37,2024-05-10
17,C,130.88,2024-05-29
18,A,485.84,2024-11-04
19,A,201.72,2024-09-14
20,C,194.5,2024-12-09
21,B,232.09,2024-10-20
22,B,359.2,2024-07-10
23,A,139.86,2024-10-03
24,C,242.26,2024-06-09
25,B,237.68,2024-11-09
26,C,291.14,2024-01-22
27,C,164.28,2024-09-09
28,A,281.11,2024-08-23
29,B,134.11,2024-12-10
30,A,52.66,2024-02-18
31,B,80.71,2024-02-28
32,B,188.06,2024-06-18
33,B,274.89,2024-07-06
34,B,195.05,2024-09-27
35,B,201.31,2024-07-08
36,C,240.27,2024-06-23
37,A,234.23,2024-02-20
38,C,316.52,2024-12-29
39,B,147.64,2024-02-24
40,A,223.78,2024-08-31
41,B,349.88,2024-11-15
42,A,223.61,2024-05-10
43,C,321.42,2024-11-02
44,A,150.82,2024-05-14
45,A,282.95,2024-01-21
46,A,284.06,2024-11-24
47,A,78.17,2024-06-15
48,A,212.01,2024-09-30
49,B,201.8,2024-03-29
50,A,268.58,2024-11-11
51,A,202.7,2024-01-14
52,C,520.95,2024-08-29
53,A,386.89,2024-09-21
54,C,242.46,2024-12-11
55,B,209.14,2024-02-22
56,A,104.49,2024-12-05
57,C,203.01,2024-04-01
58,C,195.45,2024-09-20
59,B,503.19,2024-02-04
60,A,235.7,2024-07-24
61,A,295.35,2024-03-21
62,C,140.7,2024-02-19
63,A,270.42,2024-12-25
64,C,49.37,2024-01-02
65,A,319.33,2024-02-23
66,C,124.5,2024-04-15
67,A,105.33,2024-09-16
68,B,174.08,2024-11-05
69,A,265.16,2024-07-09
70,A,173.41,2024-08-05
71,B,111.85,2024-02-13
72,A,234.97,2024-06-10
73,B,125.78,2024-07-20
74,A,172.81,2024-09-26
75,C,134.03,2024-12-16
76,C,199.87,2024-10-30
77,A,176.92,2024-09-27
78,A,200.39,2024-08-02
79,A,508.43,2024-09-08
80,C,106.41,2024-07-08
81,A,334.2,2024-10-22
82,C,38.27,2024-07-31
83,B,102.28,2024-07-26
84,C,204.83,2024-08-24
85,C,174.01,2024-12-03
86,B,236.09,2024-02-22
87,C,157.11,2024-10-06
88,A,180.72,2024-08-04
89,A,179.06,2024-09-08
90,C,189.27,2024-07-06
91,A,195.33,2024-02-10
92,C,175.63,2024-06-05
93,A,157.97,2024-01-15
94,A,167.55,2024-10-27
95,C,207.69,2024-03-05
96,A,209.37,2024-12-10
97,C,135.44,2024-11-22
98,A,116.82,2024-01-09
99,A,76.36,2024-12-09
100,B,384.44,2024-05-08
101,B,98.63,2024-05-15
102,C,124.64,2024-03-03
103,B,259.95,2024-05-18
104,C,89.25,2024-03-21
105,B,72.45,2024-06-11
106,A,143.43,2024-10-15
107,C,283.86,2024-09-17
108,C,184.0,2024-08-18
109,A,441.7,2024-02-10
110,C,250.99,2024-01-28
111,C,96.0,2024-05-14
112,B,195.51,2024-07-19
113,C,78.29,2024-11-23
114,A,238.53,2024-09-24
115,B,148.99,2024-02-02
116,B,236.0,2024-02-17
117,A,364.63,2024-03-02
118,A,357.92,2024-08-03
119,B,173.34,2024-10-19
120,C,265.4,2024-04-08
121,B,158.18,2024-06-20
122,A,204.36,2024-12-25
123,B,83.52,2024-08-01
124,A,125.82,2024-02-04
125,B,240.79,2024-08-14
126,C,72.44,2024-04-10
127,B,195.03,2024-05-10
128,B,202.57,2024-09-13
129,A,244.24,2024-01-05
130,A,83.76,2024-08-05
131,A,75.43,2024-09-11
132,B,285.62,2024-12-24
133,C,202.64,2024-10-09
134,A,159.2,2024-07-25
135,A,81.81,2024-01-15
136,B,154.16,2024-12-11
137,A,107.57,2024-02-11
